ID,kc,ko,ssq_res,res2,res5,res27,res51,res72
ln1-1,-0.030957591114336738,5.889395452484635,1.7892326347986112,0.69730519526476675,0.49663975071087618,0.15642845644132652,1.0101760447594144,0.10687167107716122
ln2-2,-0.040290191064520933,5.5359668908048487,1.5506219329335154,0.73569274996396961,0.53429969951387202,0.1226602358877491,0.84067248931896588,0.046110453452210765
ln3-3,-0.041592546060716953,5.3326170819386309,0.28044090509634323,0.2251145487188988,-0.33826865088664571,0.27553609767111187,-0.052324601445721264,0.19152195655454313
ln4-4,-0.041260318867245717,5.2044096812778582,0.42553615122099209,0.13867906133892993,-0.15222380720256767,0.5009364296441845,0.12132870911524751,0.34274512321500006
ln5-5,-0.045509660410787939,5.0120245009202113,0.352936572221068,0.48507872824531995,-0.18901478883212564,0.19059249407330814,0.17127416772381832,0.12746870165317947
ln6-6,-0.056826526087285133,4.29306649906313,0.50767382804752603,0.39940275096491196,-0.23269850539655934,0.42701870020160015,0.15554572098688979,0.29574183761550982
ln7-7,-0.06740015209838858,2.9620165996993144,0.66213691142118702,0.49156751817696592,-0.40883874588829183,-0.36837654118199481,-0.23372350620297944,-0.25104026153187053
ln8-8,-0.020112523061168178,3.7383403674232172,0.95950470975760394,0.51094412052486715,0.33638996826068457,0.042275097992198418,-0.15952155372048393,0.74702630121074209
ln9-9,-0.10834581600520096,2.627230331243493,6.1449877121939078,0.39885534376803589,-0.34274378664768035,1.3806519954105072,1.632752493167291,-1.1385728730656548
ln10-1,-0.021506513783499798,4.0028761056545017,0.30912405732779941,0.19084723015427529,-0.078290205969750559,0.3211120027695431,-0.25692634165627393,0.31216657790338642
ln11-2,-0.073962744733866062,2.0048314903841638,5.3176718835846533,0.15189075919268324,-0.53623953020319637,-0.82387323476485186,-1.5470392911599191,1.391025007593139
ln12-3,-0.093258612846964128,2.1761498128629411,4.0782405798811521,0.11415700041931831,-0.78069985271643372,-0.609416191995237,1.6977509400809732,0.44941089160494418
ln13-4,-0.039019099811515405,5.4916145948094774,0.62208969555841565,0.56023665481875362,0.11683926000102751,0.15226689445158037,0.50973828721312131,0.10749346436609758
ln14-5,-0.059491423256515581,3.4968945926771315,0.25544196334001151,0.45479605412127966,-0.13120604380444245,0.089562510487996683,0.12946604996579669,0.081268599017416454
ln15-6,-0.068616334628928355,2.9669345970463858,0.99241077210895412,0.26069390832790751,-0.54503169669545271,-0.49816742509439038,-0.46231834079955902,-0.40679340727464908
ln16-7,-0.062694872017306502,5.0129163106807466,0.80022271264065892,0.75403887717712892,-0.27648623398968342,0.29233451730224669,0.23245745100922788,-0.12532960633573545
ln17-8,-0.069050075808994263,2.2923786066789837,11.895959524071172,0.08794066313373583,-1.4163782360612287,-1.5900105328602043,0.019158702237884739,2.7117518518059542
ln18-9,-0.057077598441459897,5.057590733450013,0.45169056211774439,0.43655153874462105,-0.24485843588118783,0.067611591385078107,0.35789356754552548,-0.26172223737233313
ln19-0,-0.068719332177567719,2.1447446863484076,7.4012457851853632,0.061615614729088053,-1.1202888842318579,-1.0305476219294292,-0.20524982809434267,2.2446038011364724
ln20-2,-0.054701132728490254,4.4828805467020825,0.93870810138900662,0.080840876225584113,-0.69894161376300667,0.51287669848122697,-0.32075636942465735,0.27879440148424728
ln21-3,-0.081559439916287557,2.0615893476109957,21.5817016826309,-0.56033234402539911,-2.0213628698156856,-1.7582941950734421,-0.62933297825747569,3.7005625277042689
ln22-4,-0.060938238645761415,2.4541013522608592,22.394021709530172,-0.6375820987257228,-2.0335700037509383,-2.2698647072411573,-0.61349835594363267,3.510475437150153
ln23-5,-0.18318266468519959,6.7681534947954338,12.747523653233635,0.39097187170882974,1.8279197578124617,0.52061039759618843,-2.9907407410000002,-0.19444444399999999
ln24-6,-0.010768479450415714,4.3706960683564127,0.17047956718526447,0.34629675235408242,-0.14474226486447694,0.084096205977923333,-0.061577235886915993,0.13690827373401193
ln25-7,-0.04999772880875248,3.8697600118251865,0.53274521989846435,0.051170198211163198,-0.53044800443233386,-0.048316664897427586,-0.44032218512184773,-0.22920213456676253
ln26-8,-0.064854333424106014,2.9353829255990851,0.44941906419390909,0.52061486492086329,-0.4082036411730332,0.084367246896200676,-0.065941000868075861,-0.016821593446811445
ln27-9,-0.080371822691746739,2.0149346197459437,6.1056631298818598,-0.2858408131070671,-1.3382427394882828,-1.3354540513215074,-0.86464744117343617,1.3046117464334932
ln28-0,-0.061446147303441633,4.543543772862936,0.43256877960313966,0.43455401449279707,-0.41518217010285108,-0.021998587050488183,-0.17147161480394502,-0.20363914457768284
ln29-1,-0.075516269164530123,2.0896324834490994,8.2497562987926614,0.20531805604676062,-1.2724473995013166,-1.6562245451972757,-0.34594665624070498,1.9302123139898706
