ID,Week1-0to14,Week1-14to20,Week1-36to42,Week2-0to14,Week2-14to20,Week2-36to42,Week3-0to14,Week3-14to20,Week3-36to42,Week3-60to66,Week3-88to94,Week4-0to14,Week4-14to20,Week4-36to42,Week4-60to66,Week4-88to94,Week5-0to14,Week5-14to20,Week5-36to42,Week5-60to66,Week5-88to94,Avg-0to14,Avg-14-20,Avg-36to42,Avg-60to66,Avg-88to94,kc,ko,ssq_res,res2,res5,res27,res51,res72
ln49-3,0.138888889,1.972222222,3.805555556,0.611111111,2.222222222,3.666666667,0.861111111,2.944444444,4.361111111,3.638888889,2.166666667,0.166666667,2.555555556,7.805555556,5.833333333,2.361111111,0.305555556,3.444444444,6.888888889,6.277777778,3.388888889,0.416666667,2.627777778,5.305555556,5.25,2.638888889,-0.0657364264,3.1979757489,1.5276256377,0.6167669504,-0.4761265341,-0.7592523521,-0.3867544471,-0.4410040291
ln50-5,0.777777778,2.527777778,5,2.361111111,3.25,5.638888889,1.388888889,3.5,5.833333333,3.305555556,0.472222222,1.416666667,3.722222222,5.5,2.777777778,0.472222222,1.861111111,4.444444444,6.638888889,5.666666667,0.194444444,1.561111111,3.488888889,5.722222222,3.916666667,0.37962963,-0.0369186753,5.5591677414,0.071958603,0.1811324805,-0.0214352209,0.1230453743,0.1273728185,0.0855929891
ln51-6,0.638888889,1.527777778,4.305555556,1.194444444,2.694444444,3.805555556,0.388888889,2.138888889,4.527777778,4.5,3.972222222,0.194444444,2.222222222,6.305555556,5.888888889,1.25,0,1.027777778,4.805555556,4.861111111,3.611111111,0.483333333,1.922222222,4.75,5.083333333,2.944444444,-3.3552881852139E-008,4.6840358111,4.4377150396,0.934450882,0.7865547292,-0.6503505663,-1.5266817032,-0.438332482
ln52-7,0.916666667,2.5,4.833333333,1.222222222,2.555555556,3.888888889,0.833333333,2.472222222,3.694444444,3.777777778,2,0.888888889,3,5.805555556,6.916666667,1.666666667,0.861111111,3.611111111,6.722222222,7.055555556,2.388888889,0.944444444,2.827777778,4.988888889,5.916666667,2.018518519,-0.0740503904,3.072382395,1.3316804796,0.0567043772,-0.7198199945,-0.3002192022,-0.7537419442,-0.3899561269
ln53-8,0.222222222,1.916666667,3.222222222,0.361111111,1.972222222,3.722222222,0.277777778,2.277777778,4.444444444,3.944444444,2.555555556,0.277777778,3.472222222,6.75,2.027777778,0.083333333,0.138888889,1.944444444,6.694444444,6.472222222,0.916666667,0.255555556,2.316666667,4.966666667,4.148148148,1.185185185,-3.49856859750869E-009,2.543659805,12.02820415,0.5160272088,-0.8313663874,-2.5861133934,-1.8217727967,1.0314608054
ln54-9,0.055555556,1.944444444,4.277777778,1.444444444,2.527777778,3.972222222,1.055555556,3.027777778,5.444444444,3.472222222,0.388888889,1.583333333,3.916666667,7.166666667,3.444444444,0.083333333,1.333333333,4.805555556,7.944444444,5.611111111,0.472222222,1.094444444,3.244444444,5.761111111,4.175925926,0.314814815,-3.44220754749684E-009,3.0264762079,17.903005406,-0.1768512364,-1.481063329,-2.9667717122,-1.4905450022,2.1574803976
ln55-0,0.25,2.166666667,5,1.055555556,2.138888889,3.722222222,0.722222222,2.388888889,4.611111111,4.277777778,2.833333333,0.027777778,1.944444444,4.972222222,5.916666667,2.527777778,0,0.638888889,4.638888889,3.638888889,2.444444444,0.411111111,1.855555556,4.588888889,4.611111111,2.601851852,-3.55981095117528E-009,2.0931169363,14.754527833,0.2240932313,-0.6308521074,-2.6066348295,-2.6512740091,-0.6946485943
ln56-1,0.833333333,2.416666667,5.138888889,1.777777778,2.972222222,4.777777778,1.25,2.944444444,4.666666667,5.194444444,0.416666667,1.694444444,4.277777778,8,3.972222222,0.166666667,0.916666667,4.611111111,6.527777778,5.777777778,0.861111111,1.294444444,3.444444444,5.822222222,4.981481481,0.481481481,-3.45219571107E-009,3.2979889988,19.0992861022,-0.2948042497,-1.5252209517,-2.8014591178,-2.1121253803,2.0920876642
ln57-2,0.5,2.527777778,4.138888889,0.583333333,2.083333333,4.111111111,0.583333333,2.5,5.388888889,5.138888889,0.972222222,0.388888889,3.25,7.138888889,6.25,1.583333333,0.027777778,3.833333333,7.138888889,6.194444444,2.5,0.416666667,2.838888889,5.583333333,5.861111111,1.685185185,-0.0735950249,3.2231255322,1.9474371675,0.6329639036,-0.6314746245,-0.7079029741,-0.6455458241,-0.4797683099
ln58-3,0.277777778,1.805555556,4.25,1.5,2.388888889,3.416666667,0.833333333,2.722222222,4.583333333,4.111111111,2.055555556,0.555555556,2.638888889,5.416666667,5.611111111,1.25,0.722222222,3.638888889,5.944444444,5.444444444,0.888888889,0.777777778,2.638888889,4.722222222,5.055555556,1.398148148,-3.52642324118173E-009,2.0863783937,19.4451846002,-0.144614117,-1.418091156,-2.7460104952,-3.1014027957,0.5039998904
