ID,T1,T2,T3,T4,T5
ln1-1,0.944444444,2.838888889,5.711111111,2.962962963,0.481481481
ln2-2,0.822222222,2.672222222,5.855555556,3.259259259,0.351851852
ln3-3,1.277777778,3.438888889,5.594444444,4.268518519,0.287037037
ln4-4,1.327777778,3.177777778,5.25,4.166666667,0.259259259
ln5-5,0.933333333,3.133333333,5.572222222,4.212962963,0.407407407
ln6-6,0.83,2.828888889,5.135555556,4.62962963,0.277777778
ln7-7,0.366666667,2.255555556,4.794444444,5.194444444,2.722222222
ln8-8,0.522222222,1.75,3.744444444,3.768518519,2.148148148
ln9-9,0.394444444,2.15,4.505555556,4.481481481,1.138888889
ln10-1,0.916666667,2.316666667,3.733333333,4.046296296,2.481481481
ln11-2,0.433333333,1.811111111,4.1,5.611111111,2.851851852
ln12-3,0.533333333,2.227777778,4.861111111,4.046296296,1.481481481
ln13-4,0.983333333,3.055555556,5.738888889,3.62962963,0.37962963
ln14-5,0.55,2.266666667,4.7,4.768518519,1.740740741
ln15-6,0.6,2.4,4.977777778,5.490740741,2.722222222
ln16-7,0.688888889,3.338888889,6.266666667,3.731481481,0.148148148
ln17-8,0.577777778,2.855555556,5.144444444,4.240740741,1.268518519
ln18-9,1.011111111,3.294444444,6.255555556,3.796296296,0.342592593
ln19-0,0.561111111,2.466666667,4.361111111,4.212962963,1.824074074
ln20-2,1.2,3.394444444,5.15,5,0.222222222
ln21-3,1.166666667,3.355555556,5.366666667,5.287037037,0.425925926
ln22-4,1.344444444,3.544444444,5.8,4.666666667,0.287037037
ln23-5,1.805555556,3.65,5.283333333,2.990740741,0.194444444
ln24-6,0.85,2.527777778,3.988888889,3.722222222,2.509259259
ln25-7,1.05,2.838888889,4.888888889,5.101851852,2.111111111
ln26-8,0.327777778,2.227777778,4.211111111,4.87037037,2.824074074
ln27-9,0.877777778,2.638888889,4.827777778,5.351851852,2.972222222
ln28-0,0.872222222,3.188888889,6.055555556,4.759259259,0.351851852
ln29-1,0.405555556,2.605555556,5.111111111,4.657407407,2.277777778
ln30-3,1.027777778,3.277777778,5.894444444,3.37037037,0.324074074
ln31-4,0.738888889,3.127777778,6.216666667,4.435185185,0.259259259
ln32-5,0.927777778,2.861111111,5.6,4.175925926,0.194444444
ln33-6,0.755555556,3.372222222,6.266666667,2.194444444,0.259259259
ln34-7,1.333333333,2.9,5.022222222,5.259259259,0.592592593
ln35-8,1.244444444,3.25,5.233333333,4.962962963,0.416666667
ln36-9,0.966666667,2.966666667,4.772222222,5.342592593,1.87037037
ln37-0,0.916666667,2.733333333,5.194444444,4.962962963,0.805555556
